Image name,Fruite type,x_min,y_min,x_max,y_max
Apple(2).png,Apple,148.4445,197.82,657.2595,511.056
Apple (11).jpeg,Apple,226.074,257.1336,428.7404,448.0428
Apple (13).jpeg,Apple,106.2428,350.6774,220.9944,460.3665
Apple (13).jpeg,Apple,351.5784,379.2294,486.6142,469.1518
Apple (13).jpeg,Apple,545.7312,381.1621,694.4288,459.597
Apple (13).jpeg,Orange,307.7384,186.0798,419.8164,276.4419
Apple (13).jpeg,Orange,603.36,294.8034,682.8136,319.6163
Apple (13).jpeg,Banana,417.8328,283.131,675.4384,451.6019
Apple (14).jpeg,Apple,407.018,137.939,507.029,343.788
Apple (14).jpeg,Apple,633.368,247.688,758.145,425.408
Apple (14).jpeg,Apple,469.498,338.082,556.87,457.94
Apple (14).jpeg,Apple,612.613,77.639,759.232,181.792
Apple (15).jpeg,Apple,585.084,218.029,652.878,291.357
Apple (15).jpeg,Orange,361.923,300.622,440.659,336.796
Apple (15).jpeg,Orange,380.633,359.062,459.369,368.788
Apple (15).jpeg,Grapes,582.032,451.286,772.089,629.598
Apple (101).jpeg,Apple,80.722,127.637,410.845,382.593
Apple (101).jpeg,Apple,440.213,280.886,632.462,438.972
Apple (102).jpeg,Apple,242.978,150.217,528.215,626.08
Apple (103).jpeg,Apple,111.8012,285.9457,182.1216,414.5358
Apple (103).jpeg,Apple,448.2944,373.4282,607.468,493.89
Apple (103).jpeg,Apple,353.4856,241.5894,477.6416,317.0712
Apple (103).jpeg,Apple,488.3232,140.9233,579.4784,340.2629
Apple (103).jpeg,Apple,573.4144,255.2268,679.6288,343.3808
Apple (103).jpeg,Apple,247.6836,114.7246,319.5224,174.4531
Apple (103).jpeg,Apple,86.132,200.043,185.4104,312.258
Apple (103).jpeg,Apple,70.416,380.822,123.596,488.483
Apple (104).jpeg,Apple,163.2368,228.393,226.4592,247.756
Apple (104).jpeg,Apple,466.7384,291.5538,541.968,321.7218
Apple (104).jpeg,Apple,688.216,303.8928,752.7872,323.9512
Apple (105).jpeg,Apple,168.8176,149.3598,598.2576,471.4398
Apple (106).jpeg,Apple,81.92,16.26,456,292.9
Apple (106).jpeg,Apple,456,27.97,795.62,282.51
Apple (106).jpeg,Apple,371.55,331.84,737.02,600
Apple (106).jpeg,Apple,4.34,335.76,374.99,599.38
Apple (107).jpeg,Apple,212.7124,279.213,278.3996,341.5734
Apple (107).jpeg,Apple,203.4912,203.9013,282.9968,285.7047
Apple (107).jpeg,Apple,312.96,81.8361,387.8688,155.8359
Apple (107).jpeg,Apple,382.1092,67.5411,443.1708,122.0985
Apple (107).jpeg,Apple,432.8148,141.5739,492.742,215.5737
Apple (107).jpeg,Apple,344.0876,166.2294,410.9092,235.0818
Apple (108).jpeg,Apple,400.5532,284.4261,627.5492,554.5575
Apple (108).jpeg,Apple,508.858,59.7375,739.3164,307.8033
Apple (108).jpeg,Apple,274.938,77.9346,516.9164,327.279
Apple (109).jpeg,Apple,404.5365,365.7915,817.7835,683.9765
Apple (109).jpeg,Apple,216.7015,117.873,606.8045,397.263
Apple (110).jpeg,Apple,126.87,123.29,967.78,950.14
Apple (112).jpeg,Apple,446.0232,104.5359,622.4248,264.2781
Apple (112).jpeg,Apple,627.6136,244.7937,762.5016,421.4223
Apple (112).jpeg,Apple,396.7564,233.103,536.834,383.7522
Apple (112).jpeg,Apple,207.382,291.5568,317.6212,403.2372
Apple (112).jpeg,Apple,243.7064,407.1342,329.2968,496.7322
Apple (112).jpeg,Apple,46.548,287.6595,154.1928,411.0309
Apple (113).jpeg,Apple,234.262,31.1397,430.8964,162.3015
Apple (113).jpeg,Apple,351.834,381.7875,595.5308,570.1005
Apple (113).jpeg,Apple,105.986,362.3127,362.4828,528.5361
Apple (114).jpeg,Apple,330.836,68.8716,535.5768,319.4868
Apple (114).jpeg,Apple,191.45,305.2311,400.5084,558.4617
Apple (115).jpeg,Apple,254.546,57.111,594.182,454.5186
Apple (116).jpeg,Apple,224.5784,94.7751,286.2056,148.0209
Apple (116).jpeg,Apple,61.1104,280.4919,108.8976,324.6597
Apple (117).jpeg,Apple,266.1868,4.5357,548.3732,344.8215
Apple (117).jpeg,Apple,141.0936,243.5001,437.8136,600.0003
Apple (117).jpeg,Apple,440.7204,268.1784,706.4268,600
Apple (118).jpeg,Apple,328.7092,252.5766,499.646,451.269
Apple (119).jpeg,Apple,662.7996,266.8926,798.5332,486.357
Apple (120).jpeg,Apple,308.364,102.5901,491.5784,294.8199
Apple (120).jpeg,Apple,476.5968,306.4917,625.2512,490.9179
Apple (120).jpeg,Apple,614.8652,74.0328,788.858,267.5412
Apple (120).jpeg,Apple,157.4108,350.6559,336.0292,551.9673
Apple (121).jpeg,Apple,119.3228,314.2464,178.8388,367.5072
Apple (121).jpeg,Apple,187.3548,285.6945,239.8068,322.0491
Apple (121).jpeg,Apple,234.1288,248.0097,269.548,294.7683
Apple (121).jpeg,Apple,445.3228,427.2411,485.0004,470.0985
Apple (121).jpeg,Apple,475.0644,48.0294,514.774,86.985
Apple (122).jpeg,Apple,304.9016,67.5411,722.036,515.5737
Apple (123).jpeg,Apple,225.0316,211.0716,302.578,286.3932
Apple (123).jpeg,Apple,576.6756,226.6605,650.8092,281.1963
Apple (123).jpeg,Apple,609.458,291.5892,673.2444,344.8392
Apple (123).jpeg,Apple,607.7152,356.5182,662.8976,403.2858
Apple (123).jpeg,Apple,473.2448,74.7051,540.48,129.2409
Apple (124).jpeg,Apple,381.4172,104.4891,501.858,225.3189
Apple (124).jpeg,Apple,259.6532,309.7023,386.5196,451.2765
Apple (124).jpeg,Apple,3.2756,347.3619,119.9372,504.5109
Apple (124).jpeg,Apple,257.0712,453.8937,395.4648,572.0427
Apple (125).jpeg,Apple,337.5644,183.8067,675.0996,530.5809
Apple (125).jpeg,Apple,70.1696,118.8711,341.136,453.9357
Apple (126).jpeg,Apple,273.0172,39.6072,669.0036,503.25
Apple (127).jpeg,Apple,28.1776,215.5827,232.0592,458.4381
Apple (127).jpeg,Apple,194.8744,294.8019,415.556,527.2617
Apple (127).jpeg,Apple,421.5408,293.5185,644.6224,545.4543
Apple (127).jpeg,Apple,190.1036,70.1388,422.7556,300
Apple (128).jpeg,Apple,251.8708,184.4154,422.1932,318.1134
Apple (129).jpeg,Apple,67.52,171.4428,376.3488,505.2132
Apple (129).jpeg,Apple,272.6404,7.8033,510.022,225.9675
Apple (130).jpeg,Apple,600.5592,264.8673,723.58,381.6867
Apple (130).jpeg,Apple,368.9512,445.5906,463.0488,532.9158
Apple (130).jpeg,Apple,337.6224,166.6263,422.0416,272.6025
Apple (130).jpeg,Apple,102.4336,252.3615,186.8528,377.0601
Apple (131).jpeg,Apple,382.32,215.7501,425.36,292.1427
Apple (131).jpeg,Apple,450.96,376.2858,497.52,432.393
Apple (132).jpeg,Apple,363.0252,163.5408,573.2068,403.5408
Apple (132).jpeg,Apple,190.1676,132.3606,381.0036,384.8526
Apple (133).jpeg,Apple,0.0004,59.9232,300.4076,483.8208
Apple (133).jpeg,Apple,273.4076,75.5127,658.3332,312.4101
Apple (134).jpeg,Apple,355.9736,179.1144,544.8888,308.4588
Apple (134).jpeg,Apple,323.66,397.3113,547.3464,520.4259
